name,price,authors,url,image_url,annotation,pages,year,publisher,isbn,category
Adobe Illustrator CС 2025. Мастер-класс Евгении Тучкевич,1464,['Тучкевич Евгения Ивановна'],https://bhv.ru/product/adobe-illustrator-cs-2025-master-klass-evgenii-tuchkevich/,https://bhv.ru/wp-content/uploads/2025/03/3102_978-5-9775-2055-3.jpg,"Книга написана в соответствии с методикой изучения программы Adobe Illustrator, разработанной и апробированной на протяжении более 15 лет в крупнейшем компьютерном центре Северо-Западного региона – Высшей инженерной школе (Факультет переподготовки специалистов) Санкт-Петербургского политехнического университета Петра Великого.
Характерный для автора простой и доступный стиль изложения в виде уроков, изобилие примеров и множество практических советов по дизайну позволит быстро освоить наиболее сложные аспекты, связанные с изучением программы Adobe Illustrator. Вы научитесь легко работать в программе, использовать многочисленные возможности трансформации и графических стилей, выполнять построение упаковок, рисовать в различных техниках, декоративно оформлять узорами и кистями, а также многому другому.

 ",320,2025-05-05,БХВ,978-5-9775-2055-3,"['Компьютеры и программы', 'Графика, фото, видео, звук']"
"Мастер веб-разработки на Python,  Django и Bootstrap",1732,['Постолит Анатолий Владимирович'],https://bhv.ru/product/master-veb-razrabotki-na-python-django-i-bootstrap/,https://bhv.ru/wp-content/uploads/2025/03/3122_978-5-9775-2056-0.jpg,"Книга представляет собой практическое руководство по интеграции фреймворка Bootstrap 5 с шаблонами Django для разработки на языке Python современных и динамичных веб-приложений. Рассматриваются основы макетирования HTML-страниц, создание статичных элементов (кнопки, панели, модальные окна, аккордеоны) и разработка динамичных компонентов, управляемых через административную панель Django или интерфейс личного кабинета администратора. Описаны технологии работы с древовидными структурами, создание модальных окон с использованием библиотеки HTMX, а также базовые модули для разработки интернет-магазина, включая корзину, заказы и оплату. Приведены полезные советы по работе с файлами PDF, анимацией, переводами на другие языки и почтовыми сообщениями. Отдельное внимание уделено визуализации данных с помощью библиотек Plotly.py и Plotly.js для создания интерактивных 2D- и 3D-графиков.
Книга имеет интерактивный цифровой аналог, позволяющий запускать на выполнение программные модули всех примеров, скачивать листинги программ, озвучивать текст и переводить его на различные языки, а также смотреть цветные иллюстрации.",656,2025-05-05,БХВ,978-5-9775-2056-0,['Компьютеры и программы']
Как стать успешным UX-дизайнером: практический план развития карьеры,1127,['Дащинский Артем'],https://bhv.ru/product/kak-stat-uspeshnym-ux-dizajnerom-rakticheskij-plan-razvitiya-karery/,https://bhv.ru/wp-content/uploads/2025/02/3076_978-5-9775-2057-7.jpg,"Рассмотрены законы UX-дизайна, основанные на психологии поведения пользователей, которые дизайнеры могут использовать на практике для создания интуитивно понятных, ориентированных на человека продуктов и услуг.

Описаны законы Якоба (о привычном интерфейсе), Фиттса (о времени достижения цели), Хика (о времени, необходимом для принятия решения),  Миллера (о кратковременной памяти пользователя), Постела (о балансе консервативного и либерального), Теслера (о степени сложности системы) и эффект фон Ресторффа (о самом запоминающемся объекте). Обсуждается правило «на пике и в конце», связанное с особенностью выработки суждений. Также рассмотрен  эффект восприятия эстетически приятного дизайна как наиболее удобного в использовании.",286,2025-04-29,БХВ,978-5-9775-2057-7,['Компьютеры и программы']
Машинное обучение для приложений высокого риска: подходы к ответственному искусственному интеллекту,2079,"['Кертис Джеймс', 'Панди Парул', 'Холл Патрик']",https://bhv.ru/product/mashinnoe-obuchenie-dlya-prilozhenij-vysokogo-riska-podhody-k-otvetstvennomu-iskusstvennomu-intellektu/,https://bhv.ru/wp-content/uploads/2025/04/3060_978-601-08-4982-2.jpg,"Книга представляет собой комплексное руководство по применению искусственного интеллекта и машинного обучения (ИИ/ML)  с целью снижения рисков для современного бизнеса, связанного с использованием этих технологий. Рассмотрены основы управления рисками и компьютерной безопасности, нормативные акты, ответственность за качество продуктов, основанных на ML, а также объяснимые модели и методы их проверки, включая новый фреймворк управления рисками NIST AI. Читателю предложен углубленный взгляд на программирование с использованием Python и  подробными примерами для структурированных и неструктурированных данных. Особое внимание уделяется объяснимым бустинговым машинам, библиотеке XGBoost и методам повышения качества моделей ML. Представлены основанные на реальном опыте советы о том, как организовать успешную работу с приложениями высокого риска. Приведены практические примеры, иллюстрирующие важность и сложность внедрения ML в различных отраслях.",464,2025-05-05,БХВ,978-601-08-4982-2,['Компьютеры и программы']
"Создание встраиваемых систем: паттерны проектирования отличных программ, 2-е издание",1710,['Уайт Элесия'],https://bhv.ru/product/sozdanie-vstraivaemyh-sistem-patterny-proektirovaniya-otlichnyh-programm-2-e-izdanie/,https://bhv.ru/wp-content/uploads/2025/04/3081_978-601-08-4981-5.jpg,"Книга исследует теорию и практику проектирования встраиваемых систем. Рассматриваются различные паттерны низкоуровневого программирования, как классические, так и специфичные для датчиков и прочих электронных устройств. Затронутые темы: обработка сигналов, реагирование на прерывания, объединение устройств в сеть, обеспечение безопасного хранения данных, работа с интеллектуальными устройствами, входящими в состав Интернета вещей, управление вводом и выводом информации, регулирование электропитания и энергопотребления. Особое внимание уделено математической и алгоритмической составляющей разработки на платформах с ограниченными ресурсами , а также созданию и оптимизации прошивки.",432,2025-05-05,БХВ,978-601-08-4981-5,['Компьютеры и программы']
"Законы UX-дизайна, 2 издание",922,['Яблонски Джон'],https://bhv.ru/product/zakony-ux-dizajna-2-izdanie/,https://bhv.ru/wp-content/uploads/2025/04/3083_978-601-08-4980-8.jpg,"Рассмотрены законы UX-дизайна, основанные на психологии поведения пользователей, которые дизайнеры могут использовать на практике для создания интуитивно понятных, ориентированных на человека продуктов и услуг.

Описаны законы Якоба (о привычном интерфейсе), Фиттса (о времени достижения цели), Хика (о времени, необходимом для принятия решения),  Миллера (о кратковременной памяти пользователя), Постела (о балансе консервативного и либерального), Теслера (о степени сложности системы) и эффект фон Ресторффа (о самом запоминающемся объекте). Обсуждается правило «на пике и в конце», связанное с особенностью выработки суждений. Также рассмотрен  эффект восприятия эстетически приятного дизайна как наиболее удобного в использовании.

Во втором издании особое внимание уделено применению искусственного интеллекта для создания интуитивно понятных, ориентированных на человека продуктов и услуг, а также увеличено количество наглядных примеров.",160,2025-05-05,БХВ,978-601-08-4980-8,['Компьютеры и программы']
Adobe Photoshop CС 2025. Мастер-класс Евгении Тучкевич,2255,['Тучкевич Евгения Ивановна'],https://bhv.ru/product/adobe-photoshop-cs-2025-master-klass-evgenii-tuchkevich/,https://bhv.ru/wp-content/uploads/2025/02/3101_oblozhka_avtor.jpg,"В основу книги положена эффективная методика обучения дизайнеров, опробованная в учебных аудиториях. Последовательно в виде уроков рассмотрены основные инструменты, технологии и приемы обработки фотоизображений в программе Adobe Photoshop на примере версии CС 2025. Описаны методы коррекции изображений, гламурной ретуши и многое другое. Особое внимание уделено работе с масками, созданию выделений, работе с векторами в программе, тоновой и цветовой коррекции и современным алгоритмам ретуши фотографий. Обучение строится на решении реальных задач, возникающих в профессиональной практике. Рассматриваются приемы создания коллажей в слоевой модели, автоматизация процессов и пакетная обработка файлов, что позволяет значительно сократить время на выполнение рутинных операций. Новое издание дополнено разделами о работе с генеративным искусственным интеллектом, в частности об эффективном использовании таких новейших инструментов как Generative Fill и др.",496,2025-04-14,БХВ,978-5-9775-2047-8,['Новинки']
Искусственный интеллект глазами хакера,522,"['Коллектив авторов журнала ""Хакер""']",https://bhv.ru/product/iskusstvennyj-intellekt-glazami-hakera/,https://bhv.ru/wp-content/uploads/2025/01/3126_978-5-9775-2046-1.jpg,"Эта книга — сборник лучших, тщательно отобранных статей из легендарного журнала «Хакер». Рассмотрены современные подходы к использованию искусственного интеллекта в области информационной безопасности. Описаны методы обхода ограничений ChatGPT, рассмотрено применение нейросетей для написания эксплойтов и поиска уязвимостей в коде. Представлены практические кейсы использования GPT-4 на багбаунти, приведены способы выманивания паролей с помощью чат-ботов и QR-кодов. Даны рекомендации по применению нейросетей и языковой модели Llama для анализа и поиска критичных данных в коде программ. Отдельное внимание уделено генеративному ИИ: показана карта его возможностей, а также способы улучшения изображений с помощью нейросетей. Книга станет ценным источником знаний для тех, кто хочет изучить искусственный интеллект через призму хакерских технологий.",112,2025-03-27,БХВ,978-5-9775-2046-1,['Компьютеры и программы']
"Командная строка Linux, 2 изд.",748,['Нет автора'],https://bhv.ru/product/komandnaya-stroka-linux-2-izd/,https://bhv.ru/wp-content/uploads/2024/12/3127_978-5-9775-2045-4.jpg,"Рассмотрены задачи, которые выполняются из командной строки операционной системы Linux. Объясняется, как попасть в командную строку, работать в консоли, настраивать систему с помощью программ, обладающих только текстовым интерфейсом. Описаны особенности файловой системы Linux, наиболее полезные команды для работы с текстом, сетью и Интернетом, а также команды системного администратора. Особое внимание уделено написанию сценариев автоматизации рутинных задач на языках командных оболочек bash и tcsh. Рассмотрены способы перенаправления ввода-вывода, маски и псевдонимы, различные варианты запуска программ, эффективные приемы использования клавиатуры, примеры сложных команд и другие вопросы.",176,2025-03-28,БХВ,978-5-9775-2045-4,['Компьютеры и программы']
Изучаем Vue: основные концепции и практические паттерны для современных и масштабируемых пользовательских интерфейсов,1435,['Шавин Майя'],https://bhv.ru/product/izuchaem-vue-osnovnye-kontseptsii-i-prakticheskie-patterny-dlya-sovremennyh-i-masshtabiruemyh-polzovatelskih-interfejsov/,https://bhv.ru/wp-content/uploads/2025/03/3061_978-601-08-4835-1.jpg,"Книга посвящена созданию с нуля пользовательских интерфейсов и фронтенд-приложений с помощью Vue.js — современной платформы JavaScript. На практических примерах разработчики поэтапно познакомятся с инструментами и библиотеками экосистемы Vue.js и научатся создавать полноценные веб-приложения. Рассматриваются ключевые аспекты работы с Vue.js: создание компонентов, добавление реактивности, управление состоянием с помощью Pinia, настройка системы маршрутизации с использованием Vue Router, а также создание базовых анимационных эффектов. Подробно описана настройка фронтенда с помощью инструмента сборки для управления кодом Vite.js, создание повторно используемых компонентов, передача приложению данных с внешнего сервера, тестирование с использованием Vitest и Playwright. Показано, как управлять потоком приложения, реализовывать статическую и динамическую маршрутизацию, а также интегрировать Vue.js в существующие проекты.",336,2025-03-31,БХВ,978-601-08-4835-1,"['Компьютеры и программы', 'Разработка веб-приложений', 'Языки и технологии программирования', 'Java/JavaScript']"
